Repas de bébé,"Repas de bébé is a short starring Auguste Lumière, Mrs. Auguste Lumiere, and Andrée Lumière. As part of a maiden public film screening at the Salon Indien, on December 28, in Paris, Auguste Lumière pivots the centre of attention...",https://www.imdb.com/title/tt0000029/,"['Documentary', 'Short']",6.0,1895-12-28
Rough Sea at Dover,Description unavailable,https://www.imdb.com/title/tt0000030/,"['Documentary', 'Short']",5.2,1896-01-14
Le saut à la couverture,Description unavailable,https://www.imdb.com/title/tt0000031/,"['Documentary', 'Short']",5.5,1895-12-28
Die Serpentintänzerin,"Die Serpentintänzerin is a short starring Ancion. A young woman dancer with large, flowing robes, swirls round herself quickly, making her light robe flow around her like a butterfly's wings.",https://www.imdb.com/title/tt0000032/,Short,5.1,1895-11-01
La voltige,Description unavailable,https://www.imdb.com/title/tt0000033/,"['Documentary', 'Short', 'Comedy']",5.6,1895-12-28
Arrivée d'un train gare de Vincennes,Description unavailable,https://www.imdb.com/title/tt0000034/,"['Documentary', 'Short']",5.1,Unknown
L'arroseur,Description unavailable,https://www.imdb.com/title/tt0000035/,"['Short', 'Comedy']",5.5,Unknown
Awakening of Rip,Awakening of Rip is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000036/,"['Drama', 'Short']",4.4,1896-09-01
Baignade en mer,Description unavailable,https://www.imdb.com/title/tt0000037/,Short,4.5,Unknown
The Ball Game,"The Ball Game is a short starring Scoops Carey, Zane Grey, and Scott Stratton. ""The Reading's [Pennsylvania] pitcher has just let a Newark [New Jersey] batsman walk to first. Our camera is stationed about twenty feet from the bag,...",https://www.imdb.com/title/tt0000038/,"['Documentary', 'Short', 'Sport']",4.2,1898-05-20
Barnet Horse Fair,Description unavailable,https://www.imdb.com/title/tt0000039/,Short,3.7,Unknown
Barque sortant du port de Trouville,Description unavailable,https://www.imdb.com/title/tt0000040/,"['Documentary', 'Short']",4.3,Unknown
Bataille de neige,Description unavailable,https://www.imdb.com/title/tt0000041/,"['Documentary', 'Short', 'Comedy']",6.7,1897-02-07
Bateau-mouche sur la Seine,Description unavailable,https://www.imdb.com/title/tt0000042/,"['Documentary', 'Short']",4.5,Unknown
Batteuse à vapeur,Description unavailable,https://www.imdb.com/title/tt0000043/,"['Documentary', 'Short']",3.5,Unknown
Le bivouac,Description unavailable,https://www.imdb.com/title/tt0000044/,Short,4.3,Unknown
Les blanchisseuses,Description unavailable,https://www.imdb.com/title/tt0000045/,Short,4.5,Unknown
Bois de Boulogne,Description unavailable,https://www.imdb.com/title/tt0000046/,"['Documentary', 'Short']",4.2,Unknown
Boulevard des Italiens,Description unavailable,https://www.imdb.com/title/tt0000047/,"['Documentary', 'Short']",3.6,Unknown
The Boxing Kangaroo,Description unavailable,https://www.imdb.com/title/tt0000048/,Short,4.9,Unknown
"Boxing Match; or, Glove Contest",Description unavailable,https://www.imdb.com/title/tt0000049/,"['Short', 'Sport']",5.3,Unknown
Bébé et fillettes,"Bébé et fillettes is a short starring Georgette Méliès. Little is known about this lost film, which presumably features young baby girls.",https://www.imdb.com/title/tt0000050/,"['Documentary', 'Short']",4.2,Unknown
Campement de bohémiens,Description unavailable,https://www.imdb.com/title/tt0000051/,"['Documentary', 'Short']",3.7,Unknown
Carga de rurales,Description unavailable,https://www.imdb.com/title/tt0000052/,"['Documentary', 'Short']",4.4,Unknown
A Chegada do Comboio Inaugural à Estação Central do Porto,Description unavailable,https://www.imdb.com/title/tt0000053/,"['Documentary', 'Short']",2.8,1897-02-07
Les chevaux de bois,Description unavailable,https://www.imdb.com/title/tt0000054/,Short,5.3,Unknown
Le chiffonnier,Description unavailable,https://www.imdb.com/title/tt0000055/,Short,3.7,Unknown
Uma Corrida de Touros no Campo Pequeno,Description unavailable,https://www.imdb.com/title/tt0000056/,Short,3.2,Unknown
Cortège de tzar allant à Versailles,Description unavailable,https://www.imdb.com/title/tt0000057/,"['Documentary', 'Short']",4.4,Unknown
Cortège de tzar au Bois de Boulogne,Description unavailable,https://www.imdb.com/title/tt0000058/,"['Documentary', 'Short']",4.3,Unknown
Couronnement de la rosière,Description unavailable,https://www.imdb.com/title/tt0000059/,Short,3.5,Unknown
Dancing Darkies,Description unavailable,https://www.imdb.com/title/tt0000060/,"['Documentary', 'Short']",7.7,1896-09-12
Dancing Girls,Description unavailable,https://www.imdb.com/title/tt0000061/,Short,4.1,Unknown
Danse serpentine,Description unavailable,https://www.imdb.com/title/tt0000062/,Short,6.5,1896-11-25
Dessinateur express,Dessinateur express is a short starring Georges Méliès. This lost film featured a talented sketch artist drawing the statesman and historian Adolphe Thiers with stunning rapidity.,https://www.imdb.com/title/tt0000063/,Short,3.5,Unknown
Dessinateur: Chamberlain,Dessinateur: Chamberlain is a short starring Georges Méliès. This lost film featured a talented sketch artist drawing the statesman and Liberal Unionist Joseph Chamberlain with stunning rapidity.,https://www.imdb.com/title/tt0000064/,Short,3.2,Unknown
Dessinateur: Reine Victoria,Dessinateur: Reine Victoria is a short starring Georges Méliès. This lost film featured a talented sketch artist drawing Her Majesty H. M. Queen Victoria with stunning rapidity.,https://www.imdb.com/title/tt0000065/,Short,3.4,Unknown
Dessinateur: Von Bismark,Dessinateur: Von Bismark is a short starring Georges Méliès. This lost film featured a talented sketch artist drawing the Prussian statesman Otto Von Bismark with stunning rapidity.,https://www.imdb.com/title/tt0000066/,Short,3.4,Unknown
Dix chapeaux en 60 secondes,Description unavailable,https://www.imdb.com/title/tt0000067/,"['Short', 'Fantasy']",5.9,Unknown
Déchargement de bateaux,Description unavailable,https://www.imdb.com/title/tt0000068/,"['Documentary', 'Short']",3.6,Unknown
Défense d'afficher,Description unavailable,https://www.imdb.com/title/tt0000069/,Short,4.8,Unknown
Démolition d'un mur,"Démolition d'un mur is a short starring Auguste Lumière. Auguste Lumière directs four workers in the demolition of an old wall at the Lumière factory. One worker is pressing the wall inwards with a jackscrew, while another is...",https://www.imdb.com/title/tt0000070/,"['Documentary', 'Short']",6.4,1896-03-06
Départ des automobiles,Description unavailable,https://www.imdb.com/title/tt0000071/,"['Short', 'Sport']",3.5,Unknown
Départ des officiers,Description unavailable,https://www.imdb.com/title/tt0000072/,Short,4.2,Unknown
Effets de mer sur les rochers,Description unavailable,https://www.imdb.com/title/tt0000073/,"['Documentary', 'Short']",3.6,Unknown
Enfants jouant sur la plage,Description unavailable,https://www.imdb.com/title/tt0000074/,"['Documentary', 'Short']",4.6,Unknown
Escamotage d'une dame au théâtre Robert Houdin,"Escamotage d'une dame au théâtre Robert Houdin is a short starring Jehanne d'Alcy and Georges Méliès. As an elegant maestro of mirage and delusion drapes his beautiful female assistant with a gauzy textile, much to our amazement,...",https://www.imdb.com/title/tt0000075/,"['Short', 'Horror']",6.3,Unknown
Exit of Rip and the Dwarf,Exit of Rip and the Dwarf is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000076/,"['Drama', 'Short']",4.5,1896-09-01
"Le fakir, mystère indien",Description unavailable,https://www.imdb.com/title/tt0000077/,Short,4.8,Unknown
Feira de Gado na Corujeira,Description unavailable,https://www.imdb.com/title/tt0000078/,"['Documentary', 'Short']",3.9,1896-01-04
La gare Saint-Lazare,Description unavailable,https://www.imdb.com/title/tt0000079/,"['Documentary', 'Short']",4.4,Unknown
Grandes manoeuvres,Description unavailable,https://www.imdb.com/title/tt0000080/,"['Documentary', 'Short']",4.1,Unknown
Les haleurs de bateaux,Description unavailable,https://www.imdb.com/title/tt0000081/,"['Documentary', 'Short']",4.2,Unknown
A Hard Wash,Description unavailable,https://www.imdb.com/title/tt0000082/,"['Comedy', 'Short']",4.8,1896-09-12
Les indiscrets,Description unavailable,https://www.imdb.com/title/tt0000083/,Short,4.5,Unknown
Les ivrognes,Description unavailable,https://www.imdb.com/title/tt0000084/,Short,4.4,Unknown
Jardinier brûlant des herbes,Description unavailable,https://www.imdb.com/title/tt0000085/,Short,4.7,Unknown
Jetée et plage de Trouville (1er partie),Description unavailable,https://www.imdb.com/title/tt0000086/,"['Documentary', 'Short']",4.2,Unknown
Jetée et plage de Trouville (2e partie),Description unavailable,https://www.imdb.com/title/tt0000087/,"['Documentary', 'Short']",4.8,Unknown
Jour de marché à Trouville,Description unavailable,https://www.imdb.com/title/tt0000088/,"['Documentary', 'Short']",4.7,Unknown
Départ de Jérusalem en chemin de fer,Description unavailable,https://www.imdb.com/title/tt0000089/,"['Documentary', 'Short']",6.2,Unknown
Libération des territoriaux,Description unavailable,https://www.imdb.com/title/tt0000090/,"['Documentary', 'Short']",4.0,Unknown
Le manoir du diable,"Le manoir du diable is a short starring Jehanne d'Alcy, Jules-Eugène Legris, and Georges Méliès. With the help of a magic cauldron, Mephistopheles conjures up a variety of supernatural characters.",https://www.imdb.com/title/tt0000091/,"['Short', 'Horror']",6.7,1896-12-24
Marée montante sur Brise-Larmes,Description unavailable,https://www.imdb.com/title/tt0000092/,"['Documentary', 'Short']",4.6,Unknown
Melbourne,Description unavailable,https://www.imdb.com/title/tt0000093/,"['Documentary', 'Short']",4.9,Unknown
Miss de Vere,Description unavailable,https://www.imdb.com/title/tt0000094/,Short,4.3,Unknown
Le papier protée,Description unavailable,https://www.imdb.com/title/tt0000095/,Short,4.8,Unknown
Place Saint-Augustin,Description unavailable,https://www.imdb.com/title/tt0000096/,"['Documentary', 'Short']",4.5,Unknown
"Place de l'Opéra, 1er aspect",Description unavailable,https://www.imdb.com/title/tt0000097/,"['Documentary', 'Short']",4.9,Unknown
"Place de l'Opéra, 2e aspect",Description unavailable,https://www.imdb.com/title/tt0000098/,"['Documentary', 'Short']",5.5,Unknown
Place de la Bastille,Description unavailable,https://www.imdb.com/title/tt0000099/,"['Documentary', 'Short']",4.7,Unknown
Place de la Concorde,Description unavailable,https://www.imdb.com/title/tt0000100/,"['Documentary', 'Short']",5.0,Unknown
Place du théâtre français,Description unavailable,https://www.imdb.com/title/tt0000101/,"['Documentary', 'Short']",4.6,Unknown
Plage de Villiers par gros temps,Description unavailable,https://www.imdb.com/title/tt0000102/,Short,4.8,Unknown
Plus fort que le maître,Description unavailable,https://www.imdb.com/title/tt0000103/,Short,5.8,Unknown
Pompiers à Lyon,Description unavailable,https://www.imdb.com/title/tt0000104/,"['Documentary', 'Short']",5.5,Unknown
Les quais à Marseille,Description unavailable,https://www.imdb.com/title/tt0000105/,"['Documentary', 'Short']",5.5,Unknown
Retour au cantonnement,Description unavailable,https://www.imdb.com/title/tt0000106/,Short,4.6,Unknown
Revue navale à Cherbourg,Description unavailable,https://www.imdb.com/title/tt0000107/,"['Documentary', 'Short']",5.7,Unknown
Rip Leaving Sleepy Hollow,Rip Leaving Sleepy Hollow is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000108/,"['Drama', 'Short']",4.4,1896-09-01
Rip Meeting the Dwarf,Description unavailable,https://www.imdb.com/title/tt0000109/,"['Short', 'Fantasy']",4.5,Unknown
Rip Passing Over the Mountain,Rip Passing Over the Mountain is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000110/,"['Short', 'Fantasy']",4.4,1896-09-01
Rip's Toast,"Rip's Toast is a short starring Joseph Jefferson. ""Here the celebrated actor Joseph Jefferson is shown giving his famous toast. Mr. Jefferson's features distinctly show on this picture that by watching the motion of his lips one...",https://www.imdb.com/title/tt0000111/,"['Drama', 'Short']",4.5,1896-09-01
Rip's Toast to Hudson,Rip's Toast to Hudson is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000112/,"['Short', 'Fantasy']",4.5,1896-09-30
Rip's Twenty Years' Sleep,Rip's Twenty Years' Sleep is a short starring Joseph Jefferson. A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,https://www.imdb.com/title/tt0000113/,"['Drama', 'Short']",4.4,1896-09-01
Le régiment,Description unavailable,https://www.imdb.com/title/tt0000114/,"['Documentary', 'Short']",5.5,Unknown
Réunion d'officiers,Description unavailable,https://www.imdb.com/title/tt0000115/,"['Documentary', 'Short']",5.3,Unknown
Sac au dos,Description unavailable,https://www.imdb.com/title/tt0000116/,Short,5.6,Unknown
Saída do Pessoal Operário da Fábrica Confiança,Description unavailable,https://www.imdb.com/title/tt0000117/,"['Documentary', 'Short']",5.2,1896-11-12
Salut malencontreux d'un déserteur,Description unavailable,https://www.imdb.com/title/tt0000118/,Short,5.6,Unknown
"Sauvetage en rivière, 1er",Description unavailable,https://www.imdb.com/title/tt0000119/,"['Documentary', 'Short']",5.6,Unknown
"Sauvetage en rivière, 2e",Description unavailable,https://www.imdb.com/title/tt0000120/,"['Documentary', 'Short']",5.5,Unknown
The Soldier's Courtship,"The Soldier's Courtship is a short starring Fred Storey, Julie Seale, and Ellen Daws. A woman sitting on a bench is approached by a soldier. Momentarily, she refuses his advances, but in no time at all, they are kissing each other...",https://www.imdb.com/title/tt0000121/,"['Short', 'Comedy']",4.4,1896-05-30
Sortie des ateliers Vibert,Description unavailable,https://www.imdb.com/title/tt0000122/,"['Documentary', 'Short']",5.5,Unknown
Séance de prestidigitation,Séance de prestidigitation is a short starring Georges Méliès. Boognish the goddemon Wants your soul to perform tricks for him. WEEN is your only salvation.,https://www.imdb.com/title/tt0000123/,Short,5.7,Unknown
Tempête sur la jetée du treport,Description unavailable,https://www.imdb.com/title/tt0000124/,"['Documentary', 'Short']",5.6,Unknown
The Terrible Railway Accident,Description unavailable,https://www.imdb.com/title/tt0000125/,Short,4.7,Unknown
Tom Old Boot,Description unavailable,https://www.imdb.com/title/tt0000126/,Short,5.8,Unknown
Les tribulations d'un concierge,Description unavailable,https://www.imdb.com/title/tt0000127/,"['Short', 'Comedy']",4.5,Unknown
Un lycée de jeunes filles,Description unavailable,https://www.imdb.com/title/tt0000128/,Short,5.9,Unknown
Un petit diable,Description unavailable,https://www.imdb.com/title/tt0000129/,Short,6.7,Unknown
Une altercation au café,Description unavailable,https://www.imdb.com/title/tt0000130/,Short,5.5,Unknown
Une nuit terrible,"Une nuit terrible is a short starring Georges Méliès. A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",https://www.imdb.com/title/tt0000131/,"['Short', 'Comedy', 'Horror']",5.8,Unknown
Une partie de cartes,"Une partie de cartes is a short starring Octavie Huvier, Gaston Méliès, and Georges Méliès. In what is considered to be the first remake in the history of cinema, the grand French director, Georges Méliès, directs his very first...",https://www.imdb.com/title/tt0000132/,"['Short', 'Biography']",5.1,Unknown
La voiture du potier,Description unavailable,https://www.imdb.com/title/tt0000133/,Short,6.5,Unknown
The Wandering Negro Minstrels,Description unavailable,https://www.imdb.com/title/tt0000134/,"['Short', 'Music']",4.6,Unknown
A Watermelon Feast,Description unavailable,https://www.imdb.com/title/tt0000135/,"['Documentary', 'Short']",6.7,1896-09-12
L'arroseur arrosé,L'arroseur arrosé is a short starring François Clerc and Benoît Duval. An impudent child plays a prank on a gardener innocently watering his plants.,https://www.imdb.com/title/tt0000136/,"['Short', 'Comedy']",7.1,1895-12-28
Au réfectoire,Description unavailable,https://www.imdb.com/title/tt0000137/,"['Short', 'Comedy']",4.8,Unknown
L'auberge ensorcelée,"L'auberge ensorcelée is a short starring Georges Méliès. At a solitary cheap inn, a distant traveller overcome with fatigue has a close encounter with the supernatural.",https://www.imdb.com/title/tt0000138/,"['Short', 'Comedy', 'Horror']",6.4,1899-05-13
L'aveugle,Description unavailable,https://www.imdb.com/title/tt0000139/,Short,5.4,Unknown
Baignade dans le torrent,Description unavailable,https://www.imdb.com/title/tt0000140/,Short,5.0,2009-09-01
Ballet libella,Description unavailable,https://www.imdb.com/title/tt0000141/,"['Documentary', 'Short']",5.4,Unknown
Buffalo Bill and Escort,Buffalo Bill and Escort is a short starring Buffalo Bill Cody. McKinley Inaugural Parade.,https://www.imdb.com/title/tt0000142/,"['Short', 'News']",4.7,Unknown
Les cambrioleurs,Description unavailable,https://www.imdb.com/title/tt0000143/,"['Comedy', 'Short']",5.0,2009-09-01
Chez le magnétiseur,Description unavailable,https://www.imdb.com/title/tt0000144/,"['Comedy', 'Short']",5.2,2009-09-01
En classe,Description unavailable,https://www.imdb.com/title/tt0000145/,"['Short', 'Comedy']",3.8,Unknown
Le cocher de fiacre endormi,Description unavailable,https://www.imdb.com/title/tt0000146/,"['Short', 'Comedy']",5.1,Unknown
The Corbett-Fitzsimmons Fight,"The Corbett-Fitzsimmons Fight is a short starring James J. Corbett, Bob Fitzsimmons, and Billy Madden. The first known feature film! A very unusual filmed record of the Corbett-Fitzsimmons fight originally ran over 90 minutes in...",https://www.imdb.com/title/tt0000147/,"['Documentary', 'Short', 'News', 'Sport']",5.2,1897-05-22
Le Coucher d'Yvette,Description unavailable,https://www.imdb.com/title/tt0000148/,Short,3.7,Unknown
Dans les coulisses,Description unavailable,https://www.imdb.com/title/tt0000149/,"['Short', 'Comedy']",4.8,Unknown
Danse fleur de lotus,Description unavailable,https://www.imdb.com/title/tt0000150/,"['Documentary', 'Short']",5.3,1897-05-18
Faust et Marguerite,Description unavailable,https://www.imdb.com/title/tt0000151/,Short,5.1,Unknown
L'hallucination de l'alchimiste,"L'hallucination de l'alchimiste is a short starring Georges Méliès. Misidentified as Alchimiste Parafaragaramus ou La cornue infernale (1906), sadly, this film is currently presumed lost; however, according to Wikipedia, an...",https://www.imdb.com/title/tt0000152/,"['Short', 'Fantasy', 'Horror']",6.1,Unknown
The Haunted Castle,Description unavailable,https://www.imdb.com/title/tt0000153/,"['Short', 'Horror']",5.7,Unknown
Henley Regatta,Description unavailable,https://www.imdb.com/title/tt0000154/,"['Short', 'News', 'Sport']",4.1,1897-03-17
Le magnétiseur,Description unavailable,https://www.imdb.com/title/tt0000155/,Short,4.9,Unknown
L'hôtel empoisonné,Description unavailable,https://www.imdb.com/title/tt0000156/,"['Short', 'Comedy']",4.0,Unknown
Idylle,Description unavailable,https://www.imdb.com/title/tt0000157/,Short,4.1,Unknown
Idylle interrompue,Description unavailable,https://www.imdb.com/title/tt0000158/,"['Short', 'Comedy']",3.4,Unknown
Le cabinet de Méphistophélès,Description unavailable,https://www.imdb.com/title/tt0000159/,"['Short', 'Horror']",5.2,Unknown
The Last Days of Pompeii,Description unavailable,https://www.imdb.com/title/tt0000160/,"['Short', 'Drama']",5.4,Unknown
